id,title,company,location,salary,posted,tags,url,date_found
90724,Senior Frontend Engineer web3,CoW DAO (CoW Swap),Remote,,4d,"engineer, front end, senior, css, ethereum",https://web3.career/senior-frontend-engineer-web3-cow-dao-cow-swap/90724,2024-12-26
90720,Senior FrontEnd Engineer,raccoons.dev,Malaysia,$126k - $138k,4d,"engineer, front end, senior, blockchain, crypto",https://web3.career/senior-frontend-engineer-raccoons-dev/90720,2024-12-26
90685,Senior Frontend Engineer web3,CoW DAO,Remote,$133k - $135k,4d,"engineer, front end, senior, aws, blockchain",https://web3.career/senior-frontend-engineer-web3-cowdao/90685,2024-12-26
74047,Senior Frontend SDK Engineer,Wormholelabs,Remote,$90k - $101k,4d,"engineer, front end, senior, remote, blockchain",https://web3.career/senior-frontend-sdk-engineer-wormholelabs/74047,2024-12-26
68856,Senior Frontend Engineer,Socket,Remote,$90k - $150k,4d,"engineer, front end, senior, crypto, nextjs",https://web3.career/senior-frontend-engineer-socket/68856,2024-12-26
88934,Junior Frontend Engineer,Rampnetwork,Remote,$122k - $150k,4d,"engineer, front end, junior, entry level, blockchain",https://web3.career/junior-frontend-engineer-rampnetwork/88934,2024-12-26
90148,Senior FullStack Engineer,LIFT,Remote,,8d,"engineer, full stack, senior, ai, backend",https://web3.career/senior-full-stack-engineer-lift/90148,2024-12-26
67832,Senior Frontend Engineer,Zap,Remote,$115k - $123k,10d,"engineer, front end, senior, crypto, javascript",https://web3.career/senior-frontend-engineer-zap/67832,2024-12-26
89808,Frontend Engineer,Silo Finance,Remote,$110k - $140k,12d,"engineer, front end, react, tailwind, typescript",https://web3.career/front-end-engineer-silo-finance/89808,2024-12-26
89563,Frontend Engineer Firedancer,Jumpcrypto,Remote,$175k - $225k,15d,"engineer, front end, crypto, kubernetes, react",https://web3.career/front-end-engineer-firedancer-jumpcrypto/89563,2024-12-26
89521,Frontend Engineer,Wallet,Remote,$73k - $112k,16d,"engineer, front end, blockchain, crypto, typescript",https://web3.career/frontend-engineer-wallet/89521,2024-12-26
81848,Frontend Engineer,SideShift.ai,Remote,$50k - $80k,16d,"engineer, front end, blockchain, crypto, graphql",https://web3.career/frontend-engineer-sideshift-ai/81848,2024-12-26
89422,Frontend Engineer,Hyphenconnect,Remote,$94k - $105k,16d,"engineer, front end, crypto, defi, javascript",https://web3.career/frontend-engineer-hyphenconnect/89422,2024-12-26
88993,Junior Frontend Engineer,Wallet,Remote,$45k - $72k,19d,"engineer, front end, junior, entry level, blockchain",https://web3.career/junior-frontend-engineer-wallet/88993,2024-12-26
88781,Frontend Developer,Baby Doge,Remote,$85k - $148k,20d,"dev, front end, remote, gaming, react",https://web3.career/frontend-developer-baby-doge/88781,2024-12-26
88687,Frontend Engineer Customer Experience,Whatnot,Remote,$84k - $105k,21d,"customer support, engineer, front end, javascript, react",https://web3.career/frontend-engineer-customer-experience-whatnot/88687,2024-12-26
88627,FrontEnd Software Engineer,SwissBorg,Remote,$50k - $100k,22d,"engineer, front end, dev, remote, gaming",https://web3.career/front-end-software-engineer-swissborg/88627,2024-12-26
88567,Software Engineer Wallet Services Front End,Alchemy,Remote,$135k - $350k,22d,"engineer, front end, dev, blockchain, react",https://web3.career/software-engineer-wallet-services-front-end-alchemy/88567,2024-12-26
88566,Software Engineer Developer Experience Front End,Alchemy,Remote,$135k - $350k,22d,"dev, engineer, front end, blockchain, react",https://web3.career/software-engineer-developer-experience-front-end-alchemy/88566,2024-12-26
88101,Defi Frontend Developer,Time Research,Remote,$126k - $127k,26d,"dev, front end, blockchain, dapp, ethereum",https://web3.career/defi-frontend-developer-timeresearch/88101,2024-12-26
